"exposureId","exposureName","outcomeId","outcomeName"
19077143,"17-alpha-Hydroxyprogesterone",1,"Hepatic failure"
1369939,"6-Aminocaproic Acid",1,"Hepatic failure"
1736971,"abacavir",1,"Hepatic failure"
19043959,"acamprosate",1,"Hepatic failure"
1529331,"Acarbose",1,"Hepatic failure"
1319998,"Acebutolol",1,"Hepatic failure"
929435,"Acetazolamide",1,"Hepatic failure"
929549,"Acetic Acid",1,"Hepatic failure"
1139042,"Acetylcysteine",1,"Hepatic failure"
929638,"Acitretin",1,"Hepatic failure"
42873639,"aclidinium",1,"Hepatic failure"
1140123,"acrivastine",1,"Hepatic failure"
1703687,"Acyclovir",1,"Hepatic failure"
981774,"adapalene",1,"Hepatic failure"
1729323,"adefovir",1,"Hepatic failure"
1309204,"Adenosine",1,"Hepatic failure"
19052489,"Alanine",1,"Hepatic failure"
1753745,"Albendazole",1,"Hepatic failure"
44816332,"albiglutide",1,"Hepatic failure"
1154343,"Albuterol",1,"Hepatic failure"
40224159,"alcaftadine",1,"Hepatic failure"
905151,"Alclometasone",1,"Hepatic failure"
1557272,"Alendronate",1,"Hepatic failure"
19014202,"Alfacalcidol",1,"Hepatic failure"
930021,"alfuzosin",1,"Hepatic failure"
43013872,"alginate",1,"Hepatic failure"
1317967,"aliskiren",1,"Hepatic failure"
1167322,"Allopurinol",1,"Hepatic failure"
43013884,"alogliptin",1,"Hepatic failure"
19056802,"alpha Tocopherol",1,"Hepatic failure"
781039,"Alprazolam",1,"Hepatic failure"
1381504,"Alprostadil",1,"Hepatic failure"
957393,"aluminum chloride",1,"Hepatic failure"
985247,"Aluminum Hydroxide",1,"Hepatic failure"
19087090,"Amantadine",1,"Hepatic failure"
1337068,"ambrisentan",1,"Hepatic failure"
19088167,"Ambroxol",1,"Hepatic failure"
930747,"amcinonide",1,"Hepatic failure"
1350040,"Amifostine",1,"Hepatic failure"
1790868,"Amikacin",1,"Hepatic failure"
991382,"Amiloride",1,"Hepatic failure"
924120,"Aminolevulinate",1,"Hepatic failure"
904351,"Aminolevulinic Acid",1,"Hepatic failure"
1105775,"Aminophylline",1,"Hepatic failure"
1309944,"Amiodarone",1,"Hepatic failure"
710062,"Amitriptyline",1,"Hepatic failure"
1332418,"Amlodipine",1,"Hepatic failure"
1713332,"Amoxicillin",1,"Hepatic failure"
714785,"Amphetamine",1,"Hepatic failure"
1717240,"Amphotericin B",1,"Hepatic failure"
19056402,"amphotericin B liposomal",1,"Hepatic failure"
1717327,"Ampicillin",1,"Hepatic failure"
1381253,"anagrelide",1,"Hepatic failure"
1348265,"anastrozole",1,"Hepatic failure"
1036059,"Antipyrine",1,"Hepatic failure"
43013024,"apixaban",1,"Hepatic failure"
44816294,"apremilast",1,"Hepatic failure"
936748,"aprepitant",1,"Hepatic failure"
1111220,"arformoterol",1,"Hepatic failure"
19006410,"Arginine",1,"Hepatic failure"
757688,"aripiprazole",1,"Hepatic failure"
19090984,"armodafinil",1,"Hepatic failure"
19011773,"Ascorbic Acid",1,"Hepatic failure"
40164052,"Asenapine",1,"Hepatic failure"
19052059,"Aspartate",1,"Hepatic failure"
1112807,"Aspirin",1,"Hepatic failure"
1727223,"Atazanavir",1,"Hepatic failure"
1314002,"Atenolol",1,"Hepatic failure"
742185,"atomoxetine",1,"Hepatic failure"
1545958,"atorvastatin",1,"Hepatic failure"
1781733,"Atovaquone",1,"Hepatic failure"
914335,"Atropine",1,"Hepatic failure"
1314865,"Azacitidine",1,"Hepatic failure"
19014878,"Azathioprine",1,"Hepatic failure"
934075,"azelastine",1,"Hepatic failure"
986790,"Azelate",1,"Hepatic failure"
40235485,"azilsartan",1,"Hepatic failure"
1734104,"Azithromycin",1,"Hepatic failure"
19018517,"azosemide",1,"Hepatic failure"
1715117,"Aztreonam",1,"Hepatic failure"
915175,"Bacitracin",1,"Hepatic failure"
715233,"Baclofen",1,"Hepatic failure"
44506770,"baicalin",1,"Hepatic failure"
934262,"balsalazide",1,"Hepatic failure"
42900344,"barium chloride",1,"Hepatic failure"
19011331,"Barium Sulfate",1,"Hepatic failure"
1115572,"Beclomethasone",1,"Hepatic failure"
1335471,"benazepril",1,"Hepatic failure"
19056541,"benproperine",1,"Hepatic failure"
711452,"Benzoate",1,"Hepatic failure"
917006,"Benzocaine",1,"Hepatic failure"
1136601,"benzonatate",1,"Hepatic failure"
918172,"Benzoyl Peroxide",1,"Hepatic failure"
719174,"Benztropine",1,"Hepatic failure"
40166571,"bepotastine",1,"Hepatic failure"
19012197,"Berberine",1,"Hepatic failure"
40161662,"besifloxacin",1,"Hepatic failure"
19037223,"Beta Carotene",1,"Hepatic failure"
19020124,"BETAHISTINE",1,"Hepatic failure"
920458,"Betamethasone",1,"Hepatic failure"
1322081,"Betaxolol",1,"Hepatic failure"
937439,"Bethanechol",1,"Hepatic failure"
1344381,"bicalutamide",1,"Hepatic failure"
904525,"bimatoprost",1,"Hepatic failure"
19024770,"Biotin",1,"Hepatic failure"
924939,"Bisacodyl",1,"Hepatic failure"
958134,"bismuth subcitrate",1,"Hepatic failure"
937791,"bismuth subsalicylate",1,"Hepatic failure"
1338005,"Bisoprolol",1,"Hepatic failure"
19084670,"bivalirudin",1,"Hepatic failure"
1329241,"Bleomycin",1,"Hepatic failure"
40238770,"boceprevir",1,"Hepatic failure"
46275300,"brexpiprazole",1,"Hepatic failure"
915542,"brimonidine",1,"Hepatic failure"
938044,"brinzolamide",1,"Hepatic failure"
1139179,"bromfenac",1,"Hepatic failure"
19030493,"Bromhexine",1,"Hepatic failure"
730548,"Bromocriptine",1,"Hepatic failure"
1130863,"Brompheniramine",1,"Hepatic failure"
19039262,"brotizolam",1,"Hepatic failure"
939259,"Budesonide",1,"Hepatic failure"
932745,"Bumetanide",1,"Hepatic failure"
732893,"Bupivacaine",1,"Hepatic failure"
1133201,"Buprenorphine",1,"Hepatic failure"
750982,"Bupropion",1,"Hepatic failure"
733301,"Buspirone",1,"Hepatic failure"
1139699,"butalbital",1,"Hepatic failure"
958396,"butenafine",1,"Hepatic failure"
939784,"butoconazole",1,"Hepatic failure"
1133732,"Butorphanol",1,"Hepatic failure"
40234201,"butylscopolamine",1,"Hepatic failure"
1558471,"cabergoline",1,"Hepatic failure"
1134439,"Caffeine",1,"Hepatic failure"
908921,"calcipotriene",1,"Hepatic failure"
19035631,"Calcitriol",1,"Hepatic failure"
951469,"calcium acetate",1,"Hepatic failure"
1319219,"Calcium ascorbate",1,"Hepatic failure"
19035704,"Calcium Carbonate",1,"Hepatic failure"
19097016,"CALCIUM CARBONATE, PRECIPITATED",1,"Hepatic failure"
19036781,"Calcium Chloride",1,"Hepatic failure"
19058572,"Calcium Citrate",1,"Hepatic failure"
19037038,"Calcium Gluconate",1,"Hepatic failure"
1302788,"calcium threonate",1,"Hepatic failure"
1351557,"candesartan",1,"Hepatic failure"
19123864,"Canrenoate",1,"Hepatic failure"
1337620,"capecitabine",1,"Hepatic failure"
939881,"Capsaicin",1,"Hepatic failure"
1340128,"Captopril",1,"Hepatic failure"
740275,"Carbamazepine",1,"Hepatic failure"
958999,"carbamide peroxide",1,"Hepatic failure"
19024535,"carbazochrome",1,"Hepatic failure"
1140640,"carbetapentane",1,"Hepatic failure"
740560,"Carbidopa",1,"Hepatic failure"
1141018,"carbinoxamine",1,"Hepatic failure"
19041843,"Carbocysteine",1,"Hepatic failure"
1344905,"Carboplatin",1,"Hepatic failure"
